"ID","Consultant","DateRetrieved","DatePublished","Job_title","Company","R","SAS","SPSS","Python","MAtlab","Scala","C_sharp","MS Word","Ms Excel","OLE_DB","Ms Access","Ms PowerPoint","Spreadsheets","Data_visualization","Presentation_Skills","Communication","BigData","Data_warehouse","cloud_storage","Google_Cloud","AWS","Machine_Learning","Deep Learning","Computer_vision","Java","C_plus_plus","C","Linux_Unix","SQL","NoSQL","RDBMS","Oracle","MySQL","PHP","Flash_Actionscript","SPL","web_design_and_development_tools","Wordpress","AI","Natural_Language_Processing(NLP)","Microsoft Power BI","Google_Analytics","graphics_and_design_skills","Data_marketing","SEO","Content_Management","Tableau","D3","Alteryx","KNIME","Spotfire","Spark","S3","Redshift","DigitalOcean","Javascript","Kafka","Storm","Bash","Hadoop","Data_Pipelines","MPP_Platforms","Qlik","Pig","Hive","Tensorflow","Map_Reduce","Impala","Solr","Teradata","MongoDB","Elasticsearch","YOLO","agile execution","Data_management","pyspark","Data_mining","Data_science","Web_Analytic_tools","IOT","Numerical_Analysis","Economic","Finance_Knowledge","Investment_Knowledge","Problem_Solving","Korean_language","Bash\Linux Scripting","Knowledge_in","Experience","City","Location","Educational_qualifications","Salary","Team_Handling","Debtor_reconcilation","Payroll_management","Bayesian","Optimization","Bahasa Malaysia","English proficiency","URL","Search_Term","Job_title_New","Country","Salary_Currency","Min_Experience","Statistical_software","Programming_software","database_softwares_and_query_languages","Exp1","Location_New","Min_Educational_qualifications"
2,"Jayani","44020","31/07/2020","Junior Data Scientist","Dialog Axiata PLC",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Colombo","SL","Degree in Engineering / IT or specialized in Computer Science / Statistics from a recognized university or institute",NA,0,0,0,0,0,0,"Not_define","https://www.google.com/search?sxsrf=ALeKk00MUun1FouYtWJYm7L0o3wlM5pWbA:1596811359019&source=hp&ei=XmgtX9XyO-G_8QOttrSQAg&q=latest+jobs+for+data+scientist&oq=Latest+Jobs+for+data+scie&gs_lcp=CgZwc3ktYWIQAxgAMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoHCCMQ6gIQJzoECCMQJzoICAAQkQIQiwM6CAgAELEDEIMBOggILhCxAxCDAToFCAAQsQM6DggAELEDEIMBEJECEIsDOgsIABCxAxCDARCLAzoHCAAQAxCLAzoICC4QsQMQiwM6CAgAELEDEIsDOgUIABCLAzoCCAA6BggAEBYQHjoFCCEQoAFQ4RhY87gBYJ_IAWgCcAB4AIABwgOIAfQwkgEKMC4xNC43LjQuM5gBAKABAaoBB2d3cy13aXqwAQq4AQI&sclient=psy-ab&ibp=htl;jobs&sa=X&ved=2ahUKEwi7iIn-qYnrAhXS7XMBHR2PCx8Qp4wCMAB6BAgLEAE#fpstate=tldetail&htivrt=jobs&htiq=latest+jobs+for+data+scientist&htidocid=G184piKqa2o_fj-gAAAAAA%3D%3D&sxsrf=ALeKk00mvUvmmBGPtIAJqR8AKbUqgn_goA:1596811391427","Data Analysis Jobs in Sri Lanka","DS","sri lanka","Pounds",NA,"R & Python","No programming software","No database software and/or query language",NA,"sri lanka::Colombo","BSc"
26,"Jayani","13/08/2020","13/08/2020","Lead Data Scientist","Snap Innovations Pte Ltd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4+","Singapore","Singapore","Ph.D degree in Computer Science, Applied Statistics or related disciplines",NA,0,0,0,1,0,0,"Not_define","https://sg.jobsdb.com/job/Lead-Data-Scientist-8300615ebb452b7fca2312331f4063b6?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=10&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds","4","No Statistical softwares","No programming software","No database software and/or query language","4","singapore::Singapore","PhD"
27,"Jayani","13/08/2020","13/08/2020","Smart Manufacturing and Artificial Intelligence (SMAI) Innovation Data Scientist","Micron Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"3+","Singapore","Singapore","Bachelor’s Degree in Electrical Engineering, Computer Engineering, Computer Science or related fields",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Innovation-Data-Scientist-562ae37afd2bbeff188db6361d7fd222?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=9&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds","3","No Statistical softwares","No programming software","No database software and/or query language","3","singapore::Singapore","BSc"
28,"Jayani","13/08/2020","13/08/2020","Data Scientist","Not_defined",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Central Singapore","Singapore","Not_mention",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Data-Scientist-fa9f42dea626b2b5c20d66bd2538d4b6?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=8&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds",NA,"No Statistical softwares","No programming software","No database software and/or query language",NA,"singapore::Central Singapore",NA
29,"Jayani","13/08/2020","13/08/2020","Data Scientist","PROCTER & GAMBLE INTERNATIONAL OPERATIONS SA SINGAPORE BRANCH",1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Buona Vista","Singapore","Master’s Degree or PHD level qualifications. Preferred quantitative fields include; Operations Research, Economic Theory, Mathematics, Applied Mathematics, Statistics and Computer Science, Analytics, Physics",NA,0,0,0,1,1,0,"Not_define","https://sg.jobsdb.com/job/Data-Scientist-4daf24219a02c2b523eff5771c862bf9?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=7&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds",NA,"R & Python","Other","SQL & Handoop only",NA,"singapore::Buona Vista","MSc"
30,"Jayani","44112","44112","Data Scientist","DYSON OPERATIONS PTE. LTD.",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Science Park","Singapore","Degree in statistics and practical data analysis experience or an engineering degree with a keen interest in statistics. PhDs are valued, but not strictly needed.",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Data-Scientist-3b00ea1c2e4022b6d95a4c094fa0ed95?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=6&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds",NA,"R & Python","No programming software","SQL only",NA,"singapore::Science Park","MSc"
31,"Jayani","13/08/2020","13/08/2020","Data Scientist","Ambition",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1+","Singapore","Singapore","Not_mention",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Data-Scientist-f42f95c67bcbb93ff8c0ffb2b2c50c65?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=5&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds","1","R & Python","No programming software","SQL only","1","singapore::Singapore",NA
32,"Jayani","13/08/2020","13/08/2020","Data Scientist Intern","Dathena",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Intern","Singapore","Singapore","Not_mention",NA,0,0,0,0,0,0,"1","https://sg.jobsdb.com/job/Data-Scientist-Intern-d861d2b9a2010074afa1d6c0673abeec?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=4&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds","Intern","Python","Other","Other","0","singapore::Singapore",NA
33,"Jayani","13/05/2020","44173","Data Scientist","EAT Launchpad Pte Ltdeatlaunchpad.com",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,"Outram","Singapore","Degree or experience in a quantitative field such as computer science, physics, applied mathematics, or engineering.",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Data-Scientist-1aecb7529d2ec306cafeec1123e73b2f?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Scientist-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-uIf2jhOfEIqtJOlgEe19%26sp%3Dsuggested%26ssr%3D4%26sol-precursor%3D8bd736ec-9cd1-488e-95d5-3a16f6e4433b%26sol-originator%3Drs_serp&sl=Singapore&sol_srt=2ce436be-608b-43f9-a191-6be52160d2bb&sp=serp&sponsored=false&sq=Data+Scientist&sr=2&tk=qkE6H1oa3ytnvKSpj4H1-8zgLtEi1jVNy4EcPIOAQ","Data Scientists jobs in Singapore","DS","singapore","Pounds",NA,"R & Python","Other","Other",NA,"singapore::Outram","BSc"
34,"Jayani","13/08/2020","13/08/2020","Quality Data Analyst","ADECCO PERSONNEL PTE LTD",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,"Central Singapore","Singapore","Degree",NA,0,0,0,0,0,0,"Not_define","https://sg.jobsdb.com/job/Quality-Data-Analyst-c971b7fe5464efed86e1c2c8690c4bfe?from_url=https%3A%2F%2Fsg.jobsdb.com%2FData-Analysis-jobs-in-Singapore%3Fpsi%3D2jzrZVFE6tGfGooL_VWg-b8a54cf17eae241cc2d8805e2961a98c-bF4gIszLCudW4qAJQ3yn%26sp%3Dviewjob_suggested%26ssr%3D5%26sol-precursor%3D50506061-1d6e-4ecf-ae30-43603c0d7790%26sol-originator%3Drs_jd&sl=Singapore&sol_srt=8bd736ec-9cd1-488e-95d5-3a16f6e4433b&sp=serp&sponsored=false&sq=Data+Analysis&sr=9&tk=uIf2jhOfEIqtJOlgEe19-dauRS5ij_HGxVxYXEj4C","Data Analysis jobs in Singapore","DA","singapore","Pounds",NA,"No Statistical softwares","No programming software","No database software and/or query language",NA,"singapore::Central Singapore","BSc"
